GRAIN_YIELD:(t/ha):avg,country,SOWING_DATE:(date),HARVEST_STARTING_DATE:(date),GPS Altitude:(integer),GPS Latitude (Decimal),GPS Longitude (Decimal)
0.819047,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.809523,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.7857135,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.7714275,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.761904,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.761904,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.714285,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.666666,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.614285,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.5999995,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.566666,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.561904,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
0.523809,UKRAINE,Apr 11 2019,Aug  6 2019,170.0,50.0,36.96666666666667
<<<<<<< HEAD
6.82866,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
6.68977,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
6.666625,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
6.48144,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
6.388845,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
6.203665,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
6.13422,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
6.11107,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
6.087925,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
6.04163,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.99533,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.856445,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.856445,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.81015,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.75228,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.717555,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.64811,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.601815,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.601815,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.55552,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.46293,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.43978,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.43978,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.351815,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.23145,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.18515,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.152745,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.138855,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.138855,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
5.11571,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.891175,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.83793,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.791635,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.791635,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.76849,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.72219,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.6296,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.6296,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.583305,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.51386,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.506915,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.39812,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.328675,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.25923,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.027755,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
3.81942,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
3.74998,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
3.68053,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
3.634235,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
1.7361,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,-9.216666666666667
4.16665,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
3.624985,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
3.54165,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
3.479155,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
3.33332,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
3.24999,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
3.145825,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
3.074985,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
3.04165,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
2.979155,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
2.95832,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
2.58332,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
2.54166,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
2.43749,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
2.24999,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
2.24999,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
2.20832,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
2.12499,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
2.06249,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.979155,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.958325,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.895825,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.87499,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.87499,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.70833,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.70833,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.708325,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.62499,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.49999,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.45833,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.458325,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.33333,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.291662,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.270825,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.270825,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.26666,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.20833,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.08333,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
1.083327,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
0.9166605,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
0.874996,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
0.849997,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
0.774997,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
0.599998,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
0.333332,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,-3.5666666666666664,29.683333333333334
=======
6.82866,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
6.68977,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
6.666625,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
6.48144,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
6.388845,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
6.203665,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
6.13422,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
6.11107,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
6.087925,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
6.04163,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.99533,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.856445,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.856445,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.81015,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.75228,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.717555,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.64811,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.601815,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.601815,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.55552,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.46293,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.43978,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.43978,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.351815,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.23145,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.18515,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.152745,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.138855,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.138855,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
5.11571,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.891175,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.83793,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.791635,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.791635,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.76849,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.72219,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.6296,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.6296,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.583305,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.51386,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.506915,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.39812,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.328675,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.25923,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.027755,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
3.81942,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
3.74998,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
3.68053,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
3.634235,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
1.7361,SWITZERLAND,Apr 12 2010,Aug 10 2010,622.0,48.71666666666667,8.783333333333333
4.16665,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
3.624985,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
3.54165,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
3.479155,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
3.33332,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
3.24999,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
3.145825,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
3.074985,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
3.04165,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
2.979155,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
2.95832,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
2.58332,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
2.54166,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
2.43749,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
2.24999,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
2.24999,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
2.20832,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
2.12499,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
2.06249,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
1.979155,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
1.958325,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
1.895825,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
1.87499,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
1.87499,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
1.70833,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
1.70833,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
1.708325,BURUNDI,Apr 14 2010,Sep  2 2010,2090.0,2.4333333333333336,29.683333333333334
